Iteration,Prompt,CLIP_Sim,LPIPS,RMSE,Combined_Score
Baseline,"a lone astronaut standing on a planet beneath a massive glowing planet in deep space, cinematic sci-fi scene",0.8776639699935913,0.4798451364040375,30.130152269796827,0.722352
1,"a lone astronaut standing on a distant, barren planet beneath a massive, radiant, glowing planet in deep space, highly detailed, cinematic sci-fi scene",0.8634924292564392,0.4515537917613983,28.962091342652386,0.728135
1,"an astronaut in a white space suit stands alone on a desolate, alien planet, beneath a glowing, gaseous giant in the blackness of space, highly detailed, 4k, cinematic",0.8264455795288086,0.5684168934822083,38.327851062852105,0.361727
1,"a lone space explorer standing on a rugged, alien terrain, gazing up at a massive, luminous gas giant in the depths of space, highly detailed, masterpiece, digital painting",0.8441303968429565,0.5007991790771484,32.337420848624014,0.569562
1,"a lone, suited astronaut standing at the edge of a vast, barren, alien landscape, with a glowing, massive planet looming large in the background, highly detailed, cinematic sci-fi",0.9249564409255981,0.4491952061653137,25.902262859209333,0.952932
1,"a lone, solitary astronaut standing on the edge of a dark, shadowy, alien world, beneath a massive, radiant, glowing gas giant in the distance, highly detailed, stylized, digital art",0.8990810513496399,0.5058820247650146,32.24144943224156,0.729304
2,"'a lone, suited astronaut standing at the edge of a vast, harsh, alien wasteland, with a glowing, massive, crimson planet looming large in the background, highly detailed, cinematic, 4k sci-fi",0.8040792346000671,0.6291837692260742,36.79726993858495,0.241060
2,"a lone, suited astronaut standing on a rocky outcropping at the edge of a vast, barren, alien landscape, with a glowing, massive planet looming large in the background, highly detailed, digital painting cinematic sci-fi",0.8889893889427185,0.6032469868659973,35.221386835063925,0.545913
2,"a suited astronaut standing at the edge of a stark, barren, alien expanse, with a glowing, massive, gas giant planet looming large in the background, masterful, highly detailed, cinematic sci-fi",0.9060846567153931,0.41989776492118835,24.926145827946325,0.943462
2,"a lone, suited astronaut standing at the precipice of a vast, desolate, alien plain, with a glowing, massive, blue planet looming large in the background, highly detailed, cinematic, oil painting sci-fi",0.8866535425186157,0.4757140874862671,31.131620334837855,0.741834
2,"a suited astronaut standing at the edge of a vast, unforgiving, alien landscape, with a glowing, massive, icy planet looming large in the background, highly detailed, cinematic, impressionist sci-fi'",0.9215437769889832,0.49198800325393677,33.65277802687802,0.795744
3,"a lone, suited astronaut standing at the edge of a vast, desolate, alien landscape, with a glowing, enormous, distant planet looming large in the background, highly detailed, cinematic sci-fi artwork",0.9084926843643188,0.54616379737854,33.76368188648555,0.690558
3,"an astronaut in a sleek black spacesuit stands alone at the precipice of a barren, rocky alien world beneath a massive, vibrant, ring-lit gas giant in the background, highly detailed, epic sci-fi movie poster",0.852127730846405,0.5113176703453064,33.40495599494532,0.567755
3,"a lone astronaut in a tailored black suit standing at the edge of a seemingly endless, barren, dusty alien wasteland, with a radiant, gigantic, celestial body looming large in the background, highly detailed, 4k cinematic sci-fi",0.8538696765899658,0.5771559476852417,34.10517201475614,0.485668
3,"a suited astronaut standing in solitude at the edge of an arid, barren, alien terrain, with a brilliant, colossal, shimmering gas giant floating large in the background, highly detailed, highly realistic, sci-fi",0.815848708152771,0.5243777632713318,29.11662568655553,0.496497
3,"a lone figure in a black spacesuit stands at the edge of a vast, desolate, alien landscape, with a glowing, enormous, stunning celestial body looming large in the background, highly detailed, film-quality, sci-fi masterpiece",0.8405236005783081,0.6030864715576172,28.98906157515954,0.477978
4,"highly detailed, cinematic, high-resolution, sci-fi poster of a lone suited astronaut standing at the edge of a vast, barren, alien landscape, with a glowing, massive planet looming large in the background",0.8841628432273865,0.5227400064468384,33.1994979891938,0.652625
4,"a lone suited explorer standing at the edge of a desolate, rocky alien terrain, with a massive, glowing blue planet visible in the far background, highly detailed",0.8531922101974487,0.5997633934020996,40.562270216249345,0.376781
4,"a cinematic, 4k digital painting of a suited space traveler standing on the edge of a barren, extraterrestrial wasteland, with a massive, distant planet radiating an otherworldly glow",0.9222334027290344,0.5540303587913513,35.37895148016699,0.702351
4,"a detailed, realistic sci-fi image of a lone astronaut standing at the edge of a seemingly endless, barren alien landscape, with a large, glowing planet rising in the background, 8k resolution",0.9113416075706482,0.5235275030136108,31.69556580667102,0.751708
4,"an atmospheric, highly detailed digital art piece of a suited spaceman standing at the edge of a vast, empty, alien expanse, with a massive, luminous, distant planet looming above the horizon, cinematic lighting",0.8496941328048706,0.6021348834037781,45.14211448269069,0.306832
5,"a lone, suited astronaut standing at the forefront of a vast, arid, alien wasteland, with a glowing, enormous, celestial body looming large in the background, hyper-realistic, cinematic, sci-fi",0.7840161919593811,0.5973135828971863,36.020032811160604,0.228634
5,"a suited astronaut isolated in a desolate, barren, alien environment, with a massive, luminous, gas giant looming in the distance, highly detailed, 4k, futuristic",0.8050837516784668,0.5085242986679077,31.68071766147134,0.451475
5,"a lone astronaut standing at the edge of a vast, dry, alien terrain, with a glowing, massive, alien planet looming large in the background, realistic, cinematic, space exploration",0.8923932313919067,0.6033827066421509,32.93810915345131,0.584184
5,"an astronaut standing at the center of a desolate, barren, alien landscape, with a massive, luminous, celestial body looming in the background, highly detailed, digital painting, sci-fi",0.758061945438385,0.5598248243331909,28.50730195672484,0.288566
5,"a suited astronaut isolated at the edge of a vast, barren, alien expanse, with a glowing, enormous, planet looming large in the background, hyper-realistic, 8k, cinematic, space travel",0.8107959032058716,0.538517415523529,34.71297463388527,0.395262
