Image_Name,Global_Rank,Run_ID,Iteration,Prompt,CLIP_Sim,LPIPS,RMSE,Global_Combined_Score
1159_25.png,1,run_8,5,highly detailed 4k photo-realistic product photography of a bright vibrant orange cocktail garnished with a thin slice of citrus peel in a clear glass on a worn wooden surface,0.9231930375099182,0.3825155198574066,35.41365407460158,0.938154
1159_25.png,2,run_15,1,"highly detailed, realistic 4k image of a bright orange cocktail with citrus peel garnish in a clear glass on a warm, distressed wooden table",0.9386637210845948,0.4270163774490356,35.982932043868644,0.928454
1159_25.png,3,run_8,4,highly detailed 4k realistic product photography of a bright orange cocktail garnished with a thin slice of citrus peel in a clear glass on a weathered wooden surface,0.9240427017211914,0.3918046653270721,36.06643101553909,0.927945
1159_25.png,4,run_5,5,"photorealistic highly detailed still life of a colorful tangerine juice cocktail slightly splashed with citrus peel, garnished with colorful fresh citrus slices in a transparent clear glass, colorful small juicy fruit cubes and citrus arranged on a dark rich espresso brown wooden platter in a warm cozy inviting kitchen, serene ambiance",0.9508476853370668,0.4978066980838775,36.9804750003907,0.890898
1159_25.png,5,run_8,3,4k highly detailed product photography of a vibrant orange cocktail garnished with a thin slice of citrus peel in a clear glass on a distressed wooden surface,0.933746874332428,0.4312443137168884,41.62209984993946,0.873832
1159_25.png,6,run_15,5,"highly detailed, realistic 8k image of a bright orange cocktail with a thin slice of citrus peel garnish in a delicate clear glass on a weathered, distressed wooden table",0.8831835389137268,0.4016270935535431,33.56020418462254,0.869588
1159_25.png,7,run_9,5,highly detailed 8k product photography of a bright orange cocktail garnished with a slice of lemon peel on a rich brown wooden table with colorful exotic fruit and moderate ambient occlusion,0.9369636178016664,0.5111998915672302,35.72970393808416,0.866883
1159_25.png,8,run_6,4,"detailed, professional shot of a rich orange cocktail garnished with a slice of citrus peel in a transparent glass near scattered pieces of colorful fruit on a rustic brown wooden table",0.9221822619438172,0.4566569328308105,37.66280768327486,0.865870
1159_25.png,9,run_9,3,highly detailed and highly realistic 4k product photography of a bright orange cocktail garnished with a slice of citrus peel on a rich brown wooden table with colorful fruit and subtle ambient occlusion,0.9202207326889038,0.4813871681690216,35.0030107444519,0.865024
1159_25.png,10,run_7,4,"highly detailed 4k realistic image of a juicy orange cocktail garnished with a slice of citrus peel in a clear glass, placed on a wooden plank surrounded by fresh fruit cubes",0.9131092429161072,0.4688388407230377,36.52806802754383,0.850135
1159_25.png,11,run_15,2,"highly detailed 8k realistic image of a citrus-flavored cocktail with a slice of orange peel garnish in a clear glass on a wooden table with a warm, golden glow",0.8797911405563354,0.4137636721134186,34.28572703685893,0.849460
1159_25.png,12,run_6,1,"rich orange cocktail garnished with a slice of citrus peel in a transparent glass, scattered pieces of fruit on a brown wooden table, professional product photography, golden hour lighting",0.9374709129333496,0.4845703244209289,40.81871103068672,0.848022
1159_25.png,13,run_7,5,"highly detailed realistic masterpiece painting of a juicy orange cocktail garnished with a slice of citrus peel in a delicate clear glass, placed on a weathered wooden plank surrounded by fresh exotic fruit cubes",0.9346882104873656,0.4928311109542846,39.45840410053657,0.847678
1159_25.png,14,run_1,4,"'warmly lit opaque orange cocktail garnished with a slice of citrus in a clear tall glass, scattered colorful small fruit cubes on a wooden countertop, natural soft product lighting, 4k resolution'",0.910966157913208,0.442083477973938,38.9611265399469,0.847096
1159_25.png,15,run_9,5,highly detailed and highly realistic 8k photorealistic product photography of a bright orange cocktail garnished with a slice of citrus peel on a rich brown wooden table with colorful mixed fruit and strong ambient occlusion,0.9190673828125,0.5064667463302612,35.26051542066991,0.843020
