Image_Name,Global_Rank,Run_ID,Iteration,Prompt,CLIP_Sim,LPIPS,RMSE,Global_Combined_Score
1159_7.png,1,run_1,3,stunning masterpiece of a small top spiked hedgehog resting on a cube-shaped wafer cake with subtle natural shading,0.8154316544532776,0.457835853099823,42.861049065030286,0.900472
1159_7.png,2,run_3,2,highly detailed digital illustration of a top spiked hedgehog curled up on a cube-shaped wafer cake in bright soft pastel lighting,0.7953879833221436,0.4448923170566559,40.64942632693272,0.887980
1159_7.png,3,run_14,4,"Realistic digital artwork of a laid-back top spiked hedgehog in a side-lying pose, placed on top of a cube-shaped wafer cake, with delicate sugar work, subtle shimmering, and highly detailed textures.",0.805277407169342,0.4836817681789398,41.33377310816297,0.874052
1159_7.png,4,run_6,5,"highly detailed, highly realistic, 4k digital painting of a close-up of a happy, relaxed, top spiked hedgehog snoozing on top of a cube-shaped, rich golden wafer cake with subtle, soft background",0.7908010482788086,0.4627232551574707,40.35931431224019,0.869898
1159_7.png,5,run_3,4,highly detailed photorealistic digital illustration of a top spiked hedgehog curled up on a cube-shaped wafer cake in bright soft pastel lighting,0.7672451734542847,0.4581913650035858,34.85676820679233,0.862121
1159_7.png,6,run_6,4,"'a highly detailed, digital painting of a close-up of a happy, top spiked hedgehog snoozing on top of a cube-shaped, golden wafer cake, with a subtle, warm background'",0.7754809856414795,0.44889944791793823,39.91874911318889,0.856923
1159_7.png,7,run_9,1,"highly detailed, realistic digital art of a top spiked hedgehog laying down on top of a cube-shaped wafer cake, soft subtle warm golden lighting",0.7471618056297302,0.44814836978912354,31.775719398873917,0.851836
1159_7.png,8,run_3,1,"a top spiked hedgehog curled up on a cube-shaped wafer cake, bright soft lighting, 4k digital illustration",0.7928941249847412,0.5153189897537231,38.36508518571708,0.847155
1159_7.png,9,run_7,3,"a highly detailed top spiked hedgehog laying on a perfect cube-shaped wafer cake, warm gentle golden lighting, highly detailed 4k photorealistic digital art",0.7562373876571655,0.4966273903846741,29.191889263803183,0.845965
1159_7.png,10,run_13,5,highly detailed highly realistic cinematic 4k digital painting of a smiling top spiked hedgehog looking directly at the viewer on a cube-shaped wafer dessert in a bright sunny realistic atmosphere,0.763900637626648,0.4797046184539795,34.966738280918065,0.841567
1159_7.png,11,run_1,3,highly detailed 4k digital painting of a small top spiked hedgehog lying down on top of a cube-shaped wafer cake with soft warm natural lighting,0.8020909428596497,0.5496690273284912,39.2412609352366,0.834205
1159_7.png,12,run_3,5,highly detailed realistic digital illustration of a top spiked hedgehog curled up on a cube-shaped wafer cake in soft warm ambient light,0.7661697864532471,0.461545467376709,40.64236861065062,0.829853
1159_7.png,13,run_6,5,"a highly detailed, photorealistic digital painting of a close-up of a smiling, content top spiked hedgehog sleeping peacefully on top of a golden cube wafer cake with warm, muted tones",0.7499395608901978,0.4582526385784149,36.01877423126386,0.828676
1159_7.png,14,run_4,2,"a large, brown top spiked hedgehog in a relaxed laying down position, resting on a single cube-shaped wafer cake, digital painting style, realistic texture and detailed shadows",0.7658013701438904,0.45971888303756714,41.762131489120335,0.825038
1159_7.png,15,run_13,3,highly detailed highly realistic 4k digital painting of a smiling top spiked hedgehog posing on a cube-shaped wafer dessert in a sunny realistic setting,0.7368971705436707,0.46705418825149536,31.76474288624923,0.822561
1159_7.png,16,run_11,4,Highly detailed realistic digital portrait of a top spiked hedgehog curled up beside a cube-shaped wafer cake with realistic texture and soft natural light shadows,0.7328963279724121,0.46180570125579834,31.709989553766807,0.819995
1159_7.png,17,run_9,1,"a top spiked hedgehog in a tranquil state, laid down on top of a cube-shaped wafer cake, detailed realistic artistic vision with soft ambient light",0.80049067735672,0.5527277588844299,41.240551723831274,0.819792
1159_7.png,18,run_7,3,"a highly detailed top spiked hedgehog laying on a perfect cube-shaped wafer cake, high contrast golden lighting, photorealistic highly detailed digital painting",0.7517011165618896,0.5187429189682007,30.32535439654842,0.818092
1159_7.png,19,run_9,4,"a high-resolution realistic portrait of a top spiked hedgehog in a state of stillness, situated atop a cube-shaped wafer cake, with soft gentle radiant ambient light",0.80663001537323,0.5863890051841736,38.912389258333455,0.818064
1159_7.png,20,run_7,3,"highly realistic detailed top spiked hedgehog laying on a perfect cube-shaped wafer cake, soft warm golden lighting, highly detailed 4k digital art",0.7442965507507324,0.5064377188682556,29.68975451737293,0.817717
1159_7.png,21,run_11,3,Photorealistic ultra-high-resolution digital portrait of a top spiked hedgehog nestled beside a cube-shaped wafer cake with realistic reflection and soft ambient occlusion effects,0.8027262091636658,0.5879294872283936,37.99117206254226,0.815260
1159_7.png,22,run_2,1,"a top spiked hedgehog with intricate details laid down on top of a cube-shaped wafer cake with a subtle sheen, digital painting",0.7901270985603333,0.5220000743865967,43.22652082688088,0.814423
1159_7.png,23,run_9,5,"a highly realistic digital art piece of a top spiked hedgehog, in a state of utmost relaxation, lying on a cube-shaped wafer cake, with intricate details and subtle ambient softness",0.7767271995544434,0.5091586112976074,40.68611524197924,0.814112
1159_7.png,24,run_10,1,"Highly detailed digital art of a top spiked hedgehog laying down on top of a cube-shaped wafer cake, soft and warm gentle lighting",0.770969808101654,0.4935661554336548,41.048563466053125,0.813742
1159_7.png,25,run_7,1,"a highly detailed top spiked hedgehog laying on a perfect cube-shaped wafer cake, soft golden lighting, highly realistic digital art",0.7391687631607056,0.5063286423683167,28.87430108664742,0.813559
1159_7.png,26,run_7,4,"a highly detailed realistic top spiked hedgehog laying on a cube-shaped wafer cake, warm gentle golden natural lighting, highly detailed 4k digital masterpiece, photorealistic art",0.7399996519088745,0.48979243636131287,31.479668866335558,0.813431
1159_7.png,27,run_15,5,highly detailed digital painting of a top spiked hedgehog laying down on a cube-shaped wafer cake in soft warm ambient light,0.7867066860198975,0.5549527406692505,38.10405838945598,0.811511
1159_7.png,28,run_14,2,"A top spiked hedgehog in a relaxed pose, laying on its side on top of a cube-shaped wafer cake, with realistic lighting and detailed textures, highly realistic digital artwork",0.7631199955940247,0.5191186666488647,35.592400131502075,0.810404
1159_7.png,29,run_5,1,"a whimsical top spiked hedgehog resting on a cube-shaped wafer cake, soft pastel lighting, highly realistic digital artwork",0.7421078085899353,0.47572872042655945,34.8718311161948,0.809823
1159_7.png,30,run_11,2,Highly detailed digital portrait of a top spiked hedgehog curled up beside a cube-shaped wafer cake with visible texture and subtle shadow effects,0.7887190580368042,0.5330588221549988,42.22172604542585,0.809540
1159_7.png,31,run_14,2,"Highly detailed, photorealistic top spiked hedgehog laying on its side in a relaxed pose on top of a cube-shaped wafer cake, warm golden lighting, realistic digital art with subtle texture",0.7386764883995056,0.49075987935066223,32.0717914644514,0.807760
1159_7.png,32,run_11,2,"Highly detailed, photorealistic digital painting of a lying top spiked hedgehog resting on a perfect cube-shaped wafer cake with prominent texture features",0.779089629650116,0.5300929546356201,40.66780764120453,0.803723
1159_7.png,33,run_14,1,"A highly detailed, photorealistic top spiked hedgehog laying on its side in a relaxed pose on top of a cube-shaped wafer cake, soft warm lighting, realistic digital art",0.7567307949066162,0.5458691120147705,31.20684141772986,0.803362
1159_7.png,34,run_5,1,"a majestic top spiked hedgehog sleeping on top of a cube-shaped wafer cake, warm gentle lighting, 4k digital art",0.7534500360488892,0.5100224614143372,35.18367737184693,0.803105
1159_7.png,35,run_3,2,"a top spiked hedgehog curled up on a cube-shaped wafer cake, softly illuminated in a clean minimalist 4k digital environment",0.7904655933380127,0.5548228621482849,41.69545256053678,0.800080
1159_7.png,36,run_13,5,highly detailed highly realistic hyper-realistic 4k digital painting of a smiling top spiked hedgehog posing peacefully on a cube-shaped wafer dessert in a soft sunny realistic environment,0.747065544128418,0.5044087767601013,34.713481340660366,0.798998
1159_7.png,37,run_15,1,"highly detailed digital art of a top spiked hedgehog laying down on top of a cube-shaped wafer cake with soft, warm lighting",0.7453572750091553,0.4779081642627716,38.47640241612214,0.795937
1159_7.png,38,run_14,4,"Highly realistic digital artwork of a relaxed, laid-back top spiked hedgehog lying on its side on a cube-shaped wafer cake, with sharp, vibrant colors and detailed textures",0.6962148547172546,0.42137113213539124,30.634637747725257,0.794027
1159_7.png,39,run_11,2,Realistic digital painting of a sleeping top spiked hedgehog gently leaning against a cube-shaped wafer cake with intricate texture,0.7365446090698242,0.49193957448005676,34.13904547148896,0.793443
1159_7.png,40,run_7,2,"highly detailed, hyper-realistic digital art of a top spiked hedgehog posing on a gleaming cube-shaped wafer cake, softly lit with warm golden tones",0.7486934065818787,0.532659113407135,32.51420012642895,0.793099
1159_7.png,41,run_11,1,"Detailed digital painting of a top spiked hedgehog lying down on a cube-shaped wafer cake, emphasizing its texture",0.7859803438186646,0.5610408782958984,41.216215234664844,0.790997
1159_7.png,42,run_14,1,"A highly detailed, photorealistic top spiked hedgehog laying down on top of a cube-shaped wafer cake, soft warm lighting, realistic digital art",0.7590919733047485,0.5385420918464661,35.751307046902284,0.789940
1159_7.png,43,run_3,1,"a top spiked hedgehog lying down on a cube-shaped wafer cake, soft warm lighting, highly detailed digital art",0.7515724301338196,0.500542163848877,39.51071192002529,0.785421
1159_7.png,44,run_3,3,highly detailed digital masterpiece of a top spiked hedgehog curled up on a cube-shaped wafer cake in bright soft serene pastel lighting,0.764126181602478,0.5551530122756958,36.97999924941783,0.780686
